Started at: 15:38:10
['/DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/italy/RBQ/Italy_RBQ.xlsx
✅ Saved → RBQ | Pallone | Row 42
✅ Saved → RBQ | Pallone | Row 43
✅ Saved → RBQ | Pallone | Row 44
✅ Saved → RBQ | Pallone | Row 45
✅ Saved → RBQ | Pallone | Row 46
✅ Saved → RBQ | Pallone | Row 47
✅ Saved → RBQ | Pallone | Row 48
✅ Saved → RBQ | Pallone | Row 49
✅ Saved → RBQ | Pallone | Row 50
✅ Saved → RBQ | Pallone | Row 51
✅ Saved → RBQ | Pallone | Row 52
✅ Saved → RBQ | Pallone | Row 53
✅ Saved → RBQ | Pallone | Row 54
✅ Saved → RBQ | Pallone | Row 55
✅ Saved → RBQ | Pallone | Row 56
✅ Saved → RBQ | Pallone | Row 57
✅ Saved → RBQ | Pallone | Row 58
✅ Saved → RBQ | Pallone | Row 59
✅ Saved → RBQ | Pallone | Row 60
✅ Saved → RBQ | Pallone | Row 61
✅ Saved → RBQ | Pallone | Row 62
✅ Saved → RBQ | Pallone | Row 63
✅ Saved → RBQ | Pallone | Row 64
✅ Saved → RBQ | Pallone | Row 65
✅ Saved → RBQ | Pallone | Row 66
✅ Saved → RBQ | Pallone | Row 67
✅ Saved → RBQ | Pallone | Row 68
✅ Saved → RBQ | Pallone | Row 69
✅ Saved → RBQ | Pallone | Row 70
✅ Saved → RBQ | Pallone | Row 71
✅ Saved → RBQ | Pallone | Row 72
✅ Saved → RBQ | Pallone | Row 73
✅ Saved → RBQ | Pallone | Row 74
✅ Saved → RBQ | Pallone | Row 75
✅ Saved → RBQ | Pallone | Row 76
✅ Saved → RBQ | Pallone | Row 77
✅ Saved → RBQ | Pallone | Row 79
✅ Saved → RBQ | Pallone | Row 80
✅ Saved → RBQ | Pallone | Row 81
✅ Saved → RBQ | Pallone | Row 82
✅ Saved → RBQ | Pallone | Row 83
✅ Saved → RBQ | Pallone | Row 84
✅ Saved → RBQ | Pallone | Row 85
✅ Saved → RBQ | Pallone | Row 86
✅ Saved → RBQ | Pallone | Row 87
✅ Saved → RBQ | Pallone | Row 88
✅ Saved → RBQ | Pallone | Row 89
✅ Saved → RBQ | Pallone | Row 90
✅ Saved → RBQ | Pallone | Row 91
✅ Saved → RBQ | Pallone | Row 92
✅ Saved → RBQ | Pallone | Row 93
✅ Saved → RBQ | Pallone | Row 94
✅ Saved → RBQ | Pallone | Row 95
✅ Saved → RBQ | Pallone | Row 96
✅ Saved → RBQ | Pallone | Row 97
✅ Saved → RBQ | Pallone | Row 98
✅ Saved → RBQ | Pallone | Row 99
✅ Saved → RBQ | Pallone | Row 100
✅ Saved → RBQ | Pallone | Row 101
✅ Saved → RBQ | Pallone | Row 102
✅ Saved → RBQ | Pallone | Row 103
✅ Saved → RBQ | Pallone | Row 104
✅ Saved → RBQ | Pallone | Row 105
✅ Saved → RBQ | Pallone | Row 106
✅ Saved → RBQ | Pallone | Row 107
✅ Saved → RBQ | Pallone | Row 108
✅ Saved → RBQ | Pallone | Row 109
✅ Saved → RBQ | Pallone | Row 110
✅ Saved → RBQ | Pallone | Row 111
✅ Saved → RBQ | Pallone | Row 112
✅ Saved → RBQ | Pallone | Row 113
✅ Saved → RBQ | Pallone | Row 114
✅ Saved → RBQ | Pallone | Row 115
✅ Saved → RBQ | Pallone | Row 116
✅ Saved → RBQ | Pallone | Row 117
✅ Saved → RBQ | Pallone | Row 118
✅ Saved → RBQ | Pallone | Row 119
✅ Saved → RBQ | Pallone | Row 120
✅ Saved → RBQ | Pallone | Row 121
✅ Saved → RBQ | Pallone | Row 122
✅ Saved → RBQ | Pallone | Row 123
✅ Saved → RBQ | Pallone | Row 124
✅ Saved → RBQ | Pallone | Row 125
✅ Saved → RBQ | Pallone | Row 126
✅ Saved → RBQ | Pallone | Row 127
✅ Saved → RBQ | Pallone | Row 128
✅ Saved → RBQ | Pallone | Row 129
✅ Saved → RBQ | Pallone | Row 130
✅ Saved → RBQ | Pallone | Row 131
✅ Saved → RBQ | Pallone | Row 132
✅ Saved → RBQ | Pallone | Row 133
✅ Saved → RBQ | Pallone | Row 134
✅ Saved → RBQ | Pallone | Row 135
✅ Saved → RBQ | Pallone | Row 136
✅ Saved → RBQ | Pallone | Row 137
✅ Saved → RBQ | Pallone | Row 138
✅ Saved → RBQ | Pallone | Row 139
✅ Saved → RBQ | Pallone | Row 141
✅ Saved → RBQ | Pallone | Row 142
✅ Saved → RBQ | Pallone | Row 143
✅ Saved → RBQ | Pallone | Row 144
✅ Saved → RBQ | Pallone | Row 145
✅ Saved → RBQ | Pallone | Row 146
✅ Saved → RBQ | Pallone | Row 147
✅ Saved → RBQ | Pallone | Row 148
✅ Saved → RBQ | Pallone | Row 149
✅ Saved → RBQ | Palio | Row 0
✅ Saved → RBQ | Palio | Row 1
✅ Saved → RBQ | Palio | Row 2
✅ Saved → RBQ | Palio | Row 3
✅ Saved → RBQ | Palio | Row 4
✅ Saved → RBQ | Palio | Row 5
✅ Saved → RBQ | Palio | Row 6
✅ Saved → RBQ | Palio | Row 7
