Started at: 21:11:58
['C:\\Users\\nilad\\Documents\\country-dataset\\china\\IBQ\\China_IBQ.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\china\IBQ\China_IBQ.xlsx
[SAVED] -> IBQ | kung_fu | Row 88
[SAVED] -> IBQ | kung_fu | Row 89
[SAVED] -> IBQ | kung_fu | Row 95
[SAVED] -> IBQ | kung_fu | Row 96
[SAVED] -> IBQ | kung_fu | Row 97
[SAVED] -> IBQ | kung_fu | Row 98
[SAVED] -> IBQ | kung_fu | Row 99

[COMPLETE]!
Live-updating CSV: Results_IBQ.csv
Ended at: 21:30:46
Total Duration: 0:18:47.329206
[SUCCESS] Successfully created 'Results_IBQ.xlsx'
