Started at: 09:48:35
['/DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/sudan/RBQ/Sudan_RBQ.xlsx
✅ Saved → RBQ | Nuba_Wrestling | Row 141
✅ Saved → RBQ | Nuba_Wrestling | Row 142
✅ Saved → RBQ | Nuba_Wrestling | Row 143
✅ Saved → RBQ | Nuba_Wrestling | Row 144
✅ Saved → RBQ | Nuba_Wrestling | Row 145
✅ Saved → RBQ | Nuba_Wrestling | Row 146
✅ Saved → RBQ | Nuba_Wrestling | Row 147
✅ Saved → RBQ | Nuba_Wrestling | Row 148
✅ Saved → RBQ | Nuba_Wrestling | Row 149
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 0
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 1
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 2
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 3
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 4
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 5
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 6
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 7
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 8
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 9
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 10
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 11
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 12
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 13
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 14
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 15
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 16
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 17
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 18
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 19
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 20
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 21
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 22
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 23
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 24
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 25
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 26
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 27
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 28
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 29
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 30
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 31
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 32
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 33
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 34
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 35
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 36
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 37
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 38
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 39
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 40
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 41
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 42
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 43
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 44
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 45
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 46
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 47
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 48
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 49
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 50
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 51
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 52
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 53
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 54
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 55
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 56
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 57
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 58
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 59
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 60
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 61
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 62
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 63
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 64
✅ Saved → RBQ | Nubian_Stick_Fighting | Row 65
