Started at: 21:02:55
SBQ

📌 Processing: /DATA/rohan_kirti/country/ethopia/SBQ/Ethopia_SBQ.xlsx
Genna
✅ Saved → SBQ | Traditional Running | Row 26
✅ Saved → SBQ | Traditional Running | Row 27
✅ Saved → SBQ | Traditional Running | Row 28
✅ Saved → SBQ | Traditional Running | Row 29
✅ Saved → SBQ | Traditional Running | Row 30
✅ Saved → SBQ | Traditional Running | Row 31
✅ Saved → SBQ | Traditional Running | Row 32
✅ Saved → SBQ | Traditional Running | Row 33
✅ Saved → SBQ | Traditional Running | Row 34
✅ Saved → SBQ | Traditional Running | Row 35
✅ Saved → SBQ | Traditional Running | Row 36
✅ Saved → SBQ | Traditional Running | Row 37
✅ Saved → SBQ | Traditional Running | Row 38
✅ Saved → SBQ | Traditional Running | Row 39
✅ Saved → SBQ | Traditional Running | Row 40
✅ Saved → SBQ | Traditional Running | Row 41
✅ Saved → SBQ | Traditional Running | Row 42
✅ Saved → SBQ | Traditional Running | Row 43
✅ Saved → SBQ | Traditional Running | Row 44
✅ Saved → SBQ | Traditional Running | Row 45
✅ Saved → SBQ | Traditional Running | Row 46
✅ Saved → SBQ | Traditional Running | Row 47
✅ Saved → SBQ | Traditional Running | Row 48
✅ Saved → SBQ | Traditional Running | Row 49
✅ Saved → SBQ | Traditional Running | Row 50
✅ Saved → SBQ | Traditional Running | Row 51
✅ Saved → SBQ | Traditional Running | Row 52
✅ Saved → SBQ | Traditional Running | Row 53
✅ Saved → SBQ | Traditional Running | Row 54
✅ Saved → SBQ | Traditional Running | Row 55
✅ Saved → SBQ | Traditional Running | Row 56
✅ Saved → SBQ | Traditional Running | Row 57
✅ Saved → SBQ | Traditional Running | Row 58
✅ Saved → SBQ | Traditional Running | Row 59
✅ Saved → SBQ | Traditional Running | Row 60
✅ Saved → SBQ | Traditional Running | Row 61
✅ Saved → SBQ | Traditional Running | Row 62
✅ Saved → SBQ | Traditional Running | Row 63
✅ Saved → SBQ | Traditional Running | Row 64
✅ Saved → SBQ | Traditional Running | Row 65
✅ Saved → SBQ | Traditional Running | Row 66
✅ Saved → SBQ | Traditional Running | Row 67
✅ Saved → SBQ | Traditional Running | Row 68
✅ Saved → SBQ | Traditional Running | Row 69
✅ Saved → SBQ | Traditional Running | Row 70
✅ Saved → SBQ | Traditional Running | Row 71
✅ Saved → SBQ | Traditional Running | Row 72
✅ Saved → SBQ | Traditional Running | Row 73
✅ Saved → SBQ | Traditional Running | Row 74
✅ Saved → SBQ | Traditional Running | Row 75
✅ Saved → SBQ | Traditional Running | Row 76
✅ Saved → SBQ | Traditional Running | Row 77
✅ Saved → SBQ | Traditional Running | Row 78
✅ Saved → SBQ | Traditional Running | Row 79
✅ Saved → SBQ | Traditional Running | Row 80
✅ Saved → SBQ | Traditional Running | Row 81
✅ Saved → SBQ | Traditional Running | Row 82
✅ Saved → SBQ | Traditional Running | Row 83
✅ Saved → SBQ | Traditional Running | Row 84
✅ Saved → SBQ | Traditional Running | Row 85
✅ Saved → SBQ | Traditional Running | Row 86
✅ Saved → SBQ | Traditional Running | Row 87
✅ Saved → SBQ | Traditional Running | Row 88
✅ Saved → SBQ | Traditional Running | Row 89
✅ Saved → SBQ | Traditional Running | Row 90
✅ Saved → SBQ | Traditional Running | Row 91
✅ Saved → SBQ | Traditional Running | Row 92
✅ Saved → SBQ | Traditional Running | Row 93
✅ Saved → SBQ | Traditional Running | Row 94
✅ Saved → SBQ | Traditional Running | Row 95
✅ Saved → SBQ | Traditional Running | Row 96
✅ Saved → SBQ | Traditional Running | Row 97
✅ Saved → SBQ | Traditional Running | Row 98
✅ Saved → SBQ | Traditional Running | Row 99
✅ Saved → SBQ | Traditional Running | Row 100
✅ Saved → SBQ | Traditional Running | Row 101
✅ Saved → SBQ | Traditional Running | Row 102
✅ Saved → SBQ | Traditional Running | Row 103
✅ Saved → SBQ | Traditional Running | Row 104
✅ Saved → SBQ | Traditional Running | Row 105
✅ Saved → SBQ | Traditional Running | Row 106
✅ Saved → SBQ | Traditional Running | Row 107
✅ Saved → SBQ | Traditional Running | Row 108
✅ Saved → SBQ | Traditional Running | Row 109
✅ Saved → SBQ | Traditional Running | Row 111
✅ Saved → SBQ | Traditional Running | Row 112
✅ Saved → SBQ | Traditional Running | Row 113
✅ Saved → SBQ | Traditional Running | Row 114
✅ Saved → SBQ | Traditional Running | Row 115
✅ Saved → SBQ | Traditional Running | Row 116
✅ Saved → SBQ | Traditional Running | Row 117
✅ Saved → SBQ | Traditional Running | Row 118
✅ Saved → SBQ | Traditional Running | Row 119
✅ Saved → SBQ | Traditional Running | Row 120
✅ Saved → SBQ | Traditional Running | Row 121
✅ Saved → SBQ | Traditional Running | Row 122
✅ Saved → SBQ | Traditional Running | Row 123
✅ Saved → SBQ | Traditional Running | Row 124
✅ Saved → SBQ | Traditional Running | Row 125
✅ Saved → SBQ | Traditional Running | Row 126
✅ Saved → SBQ | Traditional Running | Row 127
✅ Saved → SBQ | Traditional Running | Row 128
✅ Saved → SBQ | Traditional Running | Row 129
✅ Saved → SBQ | Traditional Running | Row 130
✅ Saved → SBQ | Traditional Running | Row 131
✅ Saved → SBQ | Traditional Running | Row 132
✅ Saved → SBQ | Traditional Running | Row 133
✅ Saved → SBQ | Traditional Running | Row 134
✅ Saved → SBQ | Traditional Running | Row 135
✅ Saved → SBQ | Traditional Running | Row 136
✅ Saved → SBQ | Traditional Running | Row 137
✅ Saved → SBQ | Traditional Running | Row 138
✅ Saved → SBQ | Traditional Running | Row 139
✅ Saved → SBQ | Traditional Running | Row 140
✅ Saved → SBQ | Traditional Running | Row 141
✅ Saved → SBQ | Traditional Running | Row 142
✅ Saved → SBQ | Traditional Running | Row 143
✅ Saved → SBQ | Traditional Running | Row 144
✅ Saved → SBQ | Traditional Running | Row 145
✅ Saved → SBQ | Traditional Running | Row 146
✅ Saved → SBQ | Traditional Running | Row 147
✅ Saved → SBQ | Traditional Running | Row 148
✅ Saved → SBQ | Traditional Running | Row 149
Aba Geda Wrestling
✅ Saved → SBQ | Aba Geda Wrestling | Row 0
✅ Saved → SBQ | Aba Geda Wrestling | Row 1
✅ Saved → SBQ | Aba Geda Wrestling | Row 2
✅ Saved → SBQ | Aba Geda Wrestling | Row 3
✅ Saved → SBQ | Aba Geda Wrestling | Row 4
✅ Saved → SBQ | Aba Geda Wrestling | Row 5
✅ Saved → SBQ | Aba Geda Wrestling | Row 6
✅ Saved → SBQ | Aba Geda Wrestling | Row 7
✅ Saved → SBQ | Aba Geda Wrestling | Row 8
✅ Saved → SBQ | Aba Geda Wrestling | Row 9
✅ Saved → SBQ | Aba Geda Wrestling | Row 10
✅ Saved → SBQ | Aba Geda Wrestling | Row 11
✅ Saved → SBQ | Aba Geda Wrestling | Row 12
✅ Saved → SBQ | Aba Geda Wrestling | Row 13
✅ Saved → SBQ | Aba Geda Wrestling | Row 14
✅ Saved → SBQ | Aba Geda Wrestling | Row 15
✅ Saved → SBQ | Aba Geda Wrestling | Row 16
✅ Saved → SBQ | Aba Geda Wrestling | Row 17
✅ Saved → SBQ | Aba Geda Wrestling | Row 18
✅ Saved → SBQ | Aba Geda Wrestling | Row 19
✅ Saved → SBQ | Aba Geda Wrestling | Row 20
✅ Saved → SBQ | Aba Geda Wrestling | Row 21
✅ Saved → SBQ | Aba Geda Wrestling | Row 22
✅ Saved → SBQ | Aba Geda Wrestling | Row 23
✅ Saved → SBQ | Aba Geda Wrestling | Row 24
✅ Saved → SBQ | Aba Geda Wrestling | Row 25
✅ Saved → SBQ | Aba Geda Wrestling | Row 26
✅ Saved → SBQ | Aba Geda Wrestling | Row 27
✅ Saved → SBQ | Aba Geda Wrestling | Row 28
✅ Saved → SBQ | Aba Geda Wrestling | Row 29
✅ Saved → SBQ | Aba Geda Wrestling | Row 30
✅ Saved → SBQ | Aba Geda Wrestling | Row 31
✅ Saved → SBQ | Aba Geda Wrestling | Row 32
✅ Saved → SBQ | Aba Geda Wrestling | Row 33
✅ Saved → SBQ | Aba Geda Wrestling | Row 34
✅ Saved → SBQ | Aba Geda Wrestling | Row 35
✅ Saved → SBQ | Aba Geda Wrestling | Row 36
✅ Saved → SBQ | Aba Geda Wrestling | Row 37
✅ Saved → SBQ | Aba Geda Wrestling | Row 38
✅ Saved → SBQ | Aba Geda Wrestling | Row 39
✅ Saved → SBQ | Aba Geda Wrestling | Row 40
✅ Saved → SBQ | Aba Geda Wrestling | Row 41
✅ Saved → SBQ | Aba Geda Wrestling | Row 42
✅ Saved → SBQ | Aba Geda Wrestling | Row 43
✅ Saved → SBQ | Aba Geda Wrestling | Row 44
✅ Saved → SBQ | Aba Geda Wrestling | Row 45
✅ Saved → SBQ | Aba Geda Wrestling | Row 46
✅ Saved → SBQ | Aba Geda Wrestling | Row 47
✅ Saved → SBQ | Aba Geda Wrestling | Row 48
