Started at: 10:34:43

📌 Processing: /DATA/rohan_kirti/country/Bengali/SBQ/Bangladesh_SBQ.xlsx
✅ Saved → SBQ | lathi khela | Row 117
✅ Saved → SBQ | lathi khela | Row 118
✅ Saved → SBQ | lathi khela | Row 119
✅ Saved → SBQ | lathi khela | Row 120
✅ Saved → SBQ | lathi khela | Row 121
✅ Saved → SBQ | lathi khela | Row 122
✅ Saved → SBQ | lathi khela | Row 123
✅ Saved → SBQ | lathi khela | Row 124
✅ Saved → SBQ | nouka baich | Row 0
✅ Saved → SBQ | nouka baich | Row 1
✅ Saved → SBQ | nouka baich | Row 2
✅ Saved → SBQ | nouka baich | Row 3
✅ Saved → SBQ | nouka baich | Row 4
✅ Saved → SBQ | nouka baich | Row 5
✅ Saved → SBQ | nouka baich | Row 6
✅ Saved → SBQ | nouka baich | Row 7
✅ Saved → SBQ | nouka baich | Row 8
✅ Saved → SBQ | nouka baich | Row 9
✅ Saved → SBQ | nouka baich | Row 10
✅ Saved → SBQ | nouka baich | Row 11
✅ Saved → SBQ | nouka baich | Row 12
✅ Saved → SBQ | nouka baich | Row 13
✅ Saved → SBQ | nouka baich | Row 14
✅ Saved → SBQ | nouka baich | Row 15
✅ Saved → SBQ | nouka baich | Row 16
✅ Saved → SBQ | nouka baich | Row 17
✅ Saved → SBQ | nouka baich | Row 18
✅ Saved → SBQ | nouka baich | Row 19
✅ Saved → SBQ | nouka baich | Row 20
✅ Saved → SBQ | nouka baich | Row 21
✅ Saved → SBQ | nouka baich | Row 22
✅ Saved → SBQ | nouka baich | Row 23
✅ Saved → SBQ | nouka baich | Row 24
✅ Saved → SBQ | nouka baich | Row 25
✅ Saved → SBQ | nouka baich | Row 26
✅ Saved → SBQ | nouka baich | Row 27
✅ Saved → SBQ | nouka baich | Row 28
✅ Saved → SBQ | nouka baich | Row 29
✅ Saved → SBQ | nouka baich | Row 30
✅ Saved → SBQ | nouka baich | Row 31
✅ Saved → SBQ | nouka baich | Row 32
✅ Saved → SBQ | nouka baich | Row 33
✅ Saved → SBQ | nouka baich | Row 34
✅ Saved → SBQ | nouka baich | Row 35
✅ Saved → SBQ | nouka baich | Row 36
✅ Saved → SBQ | nouka baich | Row 37
✅ Saved → SBQ | nouka baich | Row 38
✅ Saved → SBQ | nouka baich | Row 39
✅ Saved → SBQ | nouka baich | Row 40
✅ Saved → SBQ | nouka baich | Row 41
✅ Saved → SBQ | nouka baich | Row 42
✅ Saved → SBQ | nouka baich | Row 43
✅ Saved → SBQ | nouka baich | Row 44
✅ Saved → SBQ | nouka baich | Row 45
✅ Saved → SBQ | nouka baich | Row 46
✅ Saved → SBQ | nouka baich | Row 47
✅ Saved → SBQ | nouka baich | Row 48
✅ Saved → SBQ | nouka baich | Row 49
✅ Saved → SBQ | nouka baich | Row 50
✅ Saved → SBQ | nouka baich | Row 51
✅ Saved → SBQ | nouka baich | Row 52
✅ Saved → SBQ | nouka baich | Row 53
✅ Saved → SBQ | nouka baich | Row 54
✅ Saved → SBQ | nouka baich | Row 55
✅ Saved → SBQ | nouka baich | Row 56
✅ Saved → SBQ | nouka baich | Row 57
✅ Saved → SBQ | nouka baich | Row 58
✅ Saved → SBQ | nouka baich | Row 59
✅ Saved → SBQ | nouka baich | Row 60
✅ Saved → SBQ | nouka baich | Row 61
✅ Saved → SBQ | nouka baich | Row 62
✅ Saved → SBQ | nouka baich | Row 63
✅ Saved → SBQ | nouka baich | Row 64
