Started at: 21:01:42
['/DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx']

📌 Processing: /DATA/rohan_kirti/country/ethopia/RBQ/Ethopia_RBQ.xlsx
✅ Saved → RBQ | Traditional Running | Row 128
✅ Saved → RBQ | Traditional Running | Row 129
✅ Saved → RBQ | Traditional Running | Row 130
✅ Saved → RBQ | Traditional Running | Row 131
✅ Saved → RBQ | Traditional Running | Row 132
✅ Saved → RBQ | Traditional Running | Row 133
✅ Saved → RBQ | Traditional Running | Row 134
✅ Saved → RBQ | Traditional Running | Row 135
✅ Saved → RBQ | Traditional Running | Row 136
✅ Saved → RBQ | Traditional Running | Row 137
✅ Saved → RBQ | Traditional Running | Row 138
✅ Saved → RBQ | Traditional Running | Row 139
✅ Saved → RBQ | Traditional Running | Row 140
✅ Saved → RBQ | Traditional Running | Row 141
✅ Saved → RBQ | Traditional Running | Row 142
✅ Saved → RBQ | Traditional Running | Row 143
✅ Saved → RBQ | Traditional Running | Row 144
✅ Saved → RBQ | Traditional Running | Row 145
✅ Saved → RBQ | Traditional Running | Row 146
✅ Saved → RBQ | Traditional Running | Row 147
✅ Saved → RBQ | Traditional Running | Row 148
✅ Saved → RBQ | Traditional Running | Row 149
✅ Saved → RBQ | Aba Geda Wrestling | Row 0
✅ Saved → RBQ | Aba Geda Wrestling | Row 1
✅ Saved → RBQ | Aba Geda Wrestling | Row 2
✅ Saved → RBQ | Aba Geda Wrestling | Row 3
✅ Saved → RBQ | Aba Geda Wrestling | Row 4
✅ Saved → RBQ | Aba Geda Wrestling | Row 5
✅ Saved → RBQ | Aba Geda Wrestling | Row 6
✅ Saved → RBQ | Aba Geda Wrestling | Row 7
✅ Saved → RBQ | Aba Geda Wrestling | Row 8
✅ Saved → RBQ | Aba Geda Wrestling | Row 9
✅ Saved → RBQ | Aba Geda Wrestling | Row 10
✅ Saved → RBQ | Aba Geda Wrestling | Row 11
✅ Saved → RBQ | Aba Geda Wrestling | Row 12
✅ Saved → RBQ | Aba Geda Wrestling | Row 13
✅ Saved → RBQ | Aba Geda Wrestling | Row 14
✅ Saved → RBQ | Aba Geda Wrestling | Row 15
✅ Saved → RBQ | Aba Geda Wrestling | Row 16
✅ Saved → RBQ | Aba Geda Wrestling | Row 17
✅ Saved → RBQ | Aba Geda Wrestling | Row 18
❌ Error on row 19: 500 Server Error: Internal Server Error for url: https://cloud.olakrutrim.com/v1/chat/completions
✅ Saved → RBQ | Aba Geda Wrestling | Row 19
✅ Saved → RBQ | Aba Geda Wrestling | Row 20
✅ Saved → RBQ | Aba Geda Wrestling | Row 21
✅ Saved → RBQ | Aba Geda Wrestling | Row 22
✅ Saved → RBQ | Aba Geda Wrestling | Row 23
✅ Saved → RBQ | Aba Geda Wrestling | Row 24
✅ Saved → RBQ | Aba Geda Wrestling | Row 25
✅ Saved → RBQ | Aba Geda Wrestling | Row 26
✅ Saved → RBQ | Aba Geda Wrestling | Row 27
✅ Saved → RBQ | Aba Geda Wrestling | Row 28
✅ Saved → RBQ | Aba Geda Wrestling | Row 29
✅ Saved → RBQ | Aba Geda Wrestling | Row 30
✅ Saved → RBQ | Aba Geda Wrestling | Row 31
✅ Saved → RBQ | Aba Geda Wrestling | Row 32
✅ Saved → RBQ | Aba Geda Wrestling | Row 33
✅ Saved → RBQ | Aba Geda Wrestling | Row 34
✅ Saved → RBQ | Aba Geda Wrestling | Row 35
✅ Saved → RBQ | Aba Geda Wrestling | Row 36
✅ Saved → RBQ | Aba Geda Wrestling | Row 37
❌ Error on row 38: 500 Server Error: Internal Server Error for url: https://cloud.olakrutrim.com/v1/chat/completions
✅ Saved → RBQ | Aba Geda Wrestling | Row 38
✅ Saved → RBQ | Aba Geda Wrestling | Row 39
✅ Saved → RBQ | Aba Geda Wrestling | Row 40
✅ Saved → RBQ | Aba Geda Wrestling | Row 41
✅ Saved → RBQ | Aba Geda Wrestling | Row 42
✅ Saved → RBQ | Aba Geda Wrestling | Row 43
✅ Saved → RBQ | Aba Geda Wrestling | Row 44
✅ Saved → RBQ | Aba Geda Wrestling | Row 45
✅ Saved → RBQ | Aba Geda Wrestling | Row 46
✅ Saved → RBQ | Aba Geda Wrestling | Row 47
✅ Saved → RBQ | Aba Geda Wrestling | Row 48
✅ Saved → RBQ | Aba Geda Wrestling | Row 49
✅ Saved → RBQ | Aba Geda Wrestling | Row 50
✅ Saved → RBQ | Aba Geda Wrestling | Row 51
